CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_QT_COTA;TAB_X_VL_COTA
05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2024-11-30;Subclasse Senior Série 1;37576370.62;45.87
05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;0.00
06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2024-11-30;Subclasse Senior Série 1;64830107.16;0.44
06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2024-11-30;Subclasse Subordinada Subordinada 1 |;1653877.47;0.00
06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;Subclasse Senior Série 1;1230641381.00;0.02
06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;Subclasse Subordinada  |;0.00;0.00
06.182.371/0001-18;FOR-TE FIDC;2024-11-30;Subclasse Senior Série 1;127038372.86;6.01
06.182.371/0001-18;FOR-TE FIDC;2024-11-30;Subclasse Subordinada Subordinada 1 |;74298.30;1128.77
07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;Subclasse Senior;0.00;0.00
07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;6000.00;8733.59
07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2024-11-30;Subclasse Senior Série 1;11.61;7061191.90
07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;2.44;3290140.29
07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;504.25;49966.89
07.507.899/0001-82;GP FIDC FCVS;2024-11-30;Subclasse Senior;0.00;0.00
07.507.899/0001-82;GP FIDC FCVS;2024-11-30;Subclasse Subordinada Subordinada 1 |;1594.79;6524.44
07.727.002/0001-26;FIDC PCG - BRASIL MULTICARTEIRA;2024-11-30;Subclasse Senior Série 1;1430.88;5005079.22
