CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_PR_DESEMP_ESPERADO;TAB_X_PR_DESEMP_REAL
05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2024-11-30;Subclasse Senior Série 1;0.00;1.09
05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;0.00
06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2024-11-30;Subclasse Senior Série 1;-0.40;-0.40
06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;Subclasse Senior Série 1;0.79;0.53
06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;Subclasse Subordinada  |;0.00;0.00
06.182.371/0001-18;FOR-TE FIDC;2024-11-30;Subclasse Senior Série 1;0.87;0.87
06.182.371/0001-18;FOR-TE FIDC;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;4.60
07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;Subclasse Senior;0.00;0.00
07.084.253/0001-30;MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.75;0.75
07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2024-11-30;Subclasse Senior Série 1;0.87;0.87
07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;-4.77;-4.77
07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;0.95;0.95
07.507.899/0001-82;GP FIDC FCVS;2024-11-30;Subclasse Senior;0.00;0.00
07.507.899/0001-82;GP FIDC FCVS;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.49;0.49
07.727.002/0001-26;FIDC PCG - BRASIL MULTICARTEIRA;2024-11-30;Subclasse Senior Série 1;0.00;45.58
07.727.002/0001-26;FIDC PCG - BRASIL MULTICARTEIRA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;0.00
07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;Subclasse Senior Série 1;0.00;0.00
07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;Subclasse Senior Série 2;0.00;0.00
07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;Subclasse Senior Série 3;0.00;0.00
07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;Subclasse Senior Série 4;0.00;0.00
07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;Subclasse Senior Série 5;0.00;0.00
07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;Subclasse Senior Série 6;0.00;0.00
07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;Subclasse Senior Série 7;0.00;0.00
07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;Subclasse Senior Série 8;0.00;0.00
